 FirstName,LastName,University,Department,Education
 Robert,Acker,University of Montana,Modern and Classical Languages and Literatures,N/A
 Earle,Adams,University of Montana,Chemistry & Biochemistry,"PhD: Montana State University, Bozeman, MT"
 Karen Ruth,Adams,University of Montana,Political Science,"Ph.D.   University of California, Berkeley, Political Science, 2000"
 David,Airne,University of Montana,Communication Studies,N/A
 Charles,Allen,University of Montana,Psychology,N/A
 Fred,Allendorf,University of Montana,Division of Biological Sciences,"B.S. Penn State University, 1971
M.S. University of Washington, 1973
Ph.D. University of Washington, Fisheries & Genetics,1975
(Fred Utter & Joe Felsenstein, co-supervisors )"
 David,Alt,University of Montana,Geosciences,N/A
 Elizabeth,Ametsbichler,University of Montana,Modern and Classical Languages and Literatures,N/A
 Christopher,Anderson,University of Montana,Modern and Classical Languages and Literatures,"Ph.D., French, the University of Iowa, Iowa City, IA, 1990
M.F.A., English, the University of Iowa Writers Workshop, 1977"
 Irene,Appelbaum,University of Montana,AnthropologyLinguistics Program,"PhD - University of Chicago 1995
AB - Princeton University 1984"
 Hiltrud,Arens,University of Montana,Modern and Classical Languages and LiteraturesWomen's and Gender Studies,"1997 Ph.D. in German Literature, University of Maryland at College Park"
 Nancy,Arnold,University of Montana,Sociology,N/A
 Hayden,Ausland,University of Montana,Modern and Classical Languages and Literatures,N/A
 Betsy,Bach,University of Montana,Communication Studies,"I received my Ph.D. in Speech Communication from the University of Washington in 1985 and specialize in organizational communication, where my two major research areas are the mentoring and socialization of organizational newcomers. I enjoy listening to the experiences of organizational newcomers as they try to negotiate life in organizations, and find their experiences of change, contrast, and surprise very exciting. I use these stories to coach organizational ""veterans"" how to make the socialization experiences of newcomers less stressful (for both newcomers AND veterans). More recently, I am reading in and turning my research interests to communication in ""chosen kin"" relationships. 

My passion is teaching, which I enjoy tremendously. I was honored to receive the University of Montana's Distinguished Teacher Award in 1991 and the Master Teacher Award from the Western States Communication Association in 1992.

I also enjoy management responsibilities and was very grateful to be nominated by the COMM department for (and be awarded) Montana's Academic Administrator Award in 1996, I have also served as President of the Western States Communication Association, the Northwest Communication Association, and as Director of the Educational Policies Board for the National Communication Association. In 2009 I was elected as President of the National Communication Association, and was very honored to serve in this capacity."
 Evelina,Badery-Anderson,University of Montana,Modern and Classical Languages and Literatures,N/A
 Linda,Bailey,University of Montana,Modern and Classical Languages and Literatures,N/A
 Robert,Baker,University of Montana,English,"   Ph.D., Comparative Literature, 1997"
 Robert,Balch,University of Montana,Sociology,"Ph.D. Sociology, University of Oregon, 1972"
 Julia A.,Baldwin,University of Montana,Geosciences,"Ph.D. Geology, Massachusetts Institute of Technology, 2003"
 Ashley,Ballantyne,University of Montana,Systems Ecology,Duke University                                 Climate/Ecology                     PhD     2006
 Johnathan,Bardsley,University of Montana,Mathematical Sciences,"Born in Missoula, raised in Butte, and (mostly) Montana educated, I got my B.S. in Mathematics from Montana Tech in 1996, my M.S. in Mathematics at Montana State University in 1998, my M.S. in Mathematics at the University of Oregon in 1999, and finally my Ph.D. in Mathematics at Montana State University in 2002. I then did a post-doc at North Carolina State University and at the Statistical and Applied Mathematical Sciences Institute (SAMSI), which ended in 2003, when I took my current position at the University of Montana. "
