First_Name,Last_Name,University,Department,Education,Student
 Earle,Adams,University of Montana,Chemistry & Biochemistry,PhD: Montana State University Bozeman MT,Xinyu Zheng
 Karen Ruth,Adams,University of Montana,Political Science,Ph.D.   University of California Berkeley Political Science 2000,Xinyu Zheng
 Fred,Allendorf,University of Montana,Division of Biological Sciences,Ph.D. University of Washington Fisheries & Genetics1975,Xinyu Zheng
 Christopher,Anderson,University of Montana,Modern and Classical Languages and Literatures,Ph.D. French the University of Iowa Iowa City IA 1990,Xinyu Zheng
 Irene,Appelbaum,University of Montana,AnthropologyLinguistics Program,PhD - University of Chicago 1995,Xinyu Zheng
 Hiltrud,Arens,University of Montana,Modern and Classical Languages and LiteraturesWomen's and Gender Studies,1997 Ph.D. in German Literature University of Maryland at College Park,Xinyu Zheng
 Betsy,Bach,University of Montana,Communication Studies,I received my Ph.D. in Speech Communication from the University of Washington in 1985 and specialize in organizational communication where my two major research areas are the men,Xinyu Zheng
 Robert,Baker,University of Montana,English,Ph.D. Comparative Literature 1997,Xinyu Zheng
 Robert,Balch,University of Montana,Sociology,Ph.D. Sociology University of Oregon 1972,Xinyu Zheng
 Julia A.,Baldwin,University of Montana,Geosciences,Ph.D. Geology Massachusetts Institute of Technology 2003,Xinyu Zheng
 Ashley,Ballantyne,University of Montana,Systems Ecology,Duke University                                 Climate/Ecology                     PhD     2006,Xinyu Zheng
 Johnathan,Bardsley,University of Montana,Mathematical Sciences,Born in Missoula raised in Butte and (mostly) Montana educated I got my B.S. in Mathematics from Montana Tech in 1996 my M.S. in Mathematics at Montana State University in 199,Xinyu Zheng
 Leora,Bar-el,University of Montana,AnthropologyLinguistics Program,PhD University of British Columbia 2005,Xinyu Zheng
 David,Beck,University of Montana,Native American Studies,Ph.D. History University of Illinois at Chicago,Xinyu Zheng
 Margaret,Beebe-Frankenberger,University of Montana,Psychology,Ph.D. University of California Riverside 2000,Xinyu Zheng
 Annjeanette,Belcourt,University of Montana,Global Public Health,Ph.D University of Montana Clinical Psychology 2006,Xinyu Zheng
 Jill M.,Belsky,University of Montana,International Development StudiesInternational Development Studies,Ph.D. 1991 Cornell University Rural/Development Sociology,Xinyu Zheng
 Rebecca O.,Bendick,University of Montana,Geosciences,1995-2000 University of Colorado Boulder CO: Ph.D.(Geophysics),Xinyu Zheng
 Joel,Berger,University of Montana,Division of Biological Sciences,PhD  University of Colorado Boulder; (1978),Xinyu Zheng
 Jill,Bergman,University of Montana,EnglishWomen's and Gender Studies,Ph.D. English University of Illinois Urbana 1999,Xinyu Zheng
